,temp_0.05,temp_0.1,temp_0.15,temp_0.2,temp_0.25,temp_0.3,temp_0.35,temp_0.4,temp_0.45,temp_0.5,temp_0.55,temp_0.6,temp_0.65,temp_0.7,temp_0.75,temp_0.8,temp_0.85,temp_0.9,temp_0.95,temp_1.0,topk_1,topk_2,topk_5,topk_10,topk_20,topk_50,topk_100,topk_200,topk_500,topp_0.05,topp_0.1,topp_0.15,topp_0.2,topp_0.25,topp_0.3,topp_0.35,topp_0.4,topp_0.45,topp_0.5,topp_0.55,topp_0.6,topp_0.65,topp_0.7,topp_0.75,topp_0.8,topp_0.85,topp_0.9,topp_0.95,topp_1.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002604842185974121,0.0,0.005190014839172363,0.0027382373809814453,0.0,0.0,0.0,0.9988762736320496,0.002794325351715088,0.01122593879699707,0.0,0.0,0.0,0.0030804872512817383,0.0,0.0035468339920043945,0.0,0.0032656192779541016,0.0025119781494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986805319786072,0.0,0.0,0.0,0.0,0.0,0.0,0.005995810031890869,0.0027403831481933594,0.0022260546684265137,0.0030480623245239258
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8195013999938965,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004566788673400879,0.9927113056182861,0.0,0.002197444438934326,0.0023665428161621094,0.0017339587211608887,0.020030319690704346,0.9954354166984558,0.0,0.0014786124229431152,0.102458655834198,0.0,0.0015054941177368164,0.0,0.002502620220184326,0.8044703602790833,0.16324496269226074,0.9997214674949646,0.04893219470977783,0.9713934659957886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020765066146850586,0.0033475756645202637,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023124217987060547,0.0066263675689697266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021423697471618652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994078874588013,0.0,0.0,0.0,0.0,0.0,0.0,0.9983142614364624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.003090083599090576,0.9963101744651794,0.9971513152122498,0.9966296553611755,0.003090083599090576,0.9974894523620605,0.004243195056915283,0.9928682446479797,0.997944176197052,0.985557496547699,0.8317375779151917,0.9979921579360962,0.09917265176773071,0.9970409274101257,0.0,0.0392000675201416,0.006384015083312988,0.9980181455612183,0.9980795383453369,0.9975389242172241,0.003090083599090576,0.9981777667999268,0.996222972869873,0.9977596998214722,0.9953318238258362,0.9979045391082764,0.9970828890800476,0.9965582489967346,0.9978881478309631,0.003090083599090576,0.003090083599090576,0.003090083599090576,0.003090083599090576,0.003090083599090576,0.003090083599090576,0.003090083599090576,0.003090083599090576,0.9949040412902832,0.9963101744651794,0.003090083599090576,0.995257556438446,0.8716475367546082,0.9952272176742554,0.0,0.9974061846733093,0.9983280301094055,0.9979783892631531,0.9978552460670471,0.9974442720413208
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9046699404716492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8264742493629456,0.0,0.0,0.0
8,0.9961466789245605,0.9954231381416321,0.9862262606620789,0.001464247703552246,0.9936102032661438,0.002614438533782959,0.9957342743873596,0.00526583194732666,0.0033188462257385254,0.9970293045043945,0.9968258142471313,0.9904016852378845,0.002511739730834961,0.030218303203582764,0.003230452537536621,0.9966829419136047,0.9968833327293396,0.0,0.0,0.9971539974212646,0.9961466789245605,0.0031502842903137207,0.0,0.997541069984436,0.9801162481307983,0.06702548265457153,0.02268308401107788,0.9932786822319031,0.9559069275856018,0.9961466789245605,0.9961466789245605,0.9961466789245605,0.9961466789245605,0.9961466789245605,0.9961466789245605,0.9961466789245605,0.11401164531707764,0.008168399333953857,0.9961466789245605,0.001324474811553955,0.008303821086883545,0.6309759616851807,0.0015569329261779785,0.0013175606727600098,0.003341078758239746,0.047541022300720215,0.0032346248626708984,0.003526628017425537,0.0012363195419311523
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003088653087615967,0.0,0.0,0.0,0.0,0.0,0.0,0.009634912014007568,0.0,0.0,0.0,0.0,0.0,0.002146422863006592,0.0031806230545043945,0.0029877424240112305,0.0,0.002695322036743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002822399139404297,0.0,0.0,0.0,0.0,0.0
